id,package_name,version_code,release_date,NBI,NOC,NOM,IPM,CC,WMC,NOCH,DIT,LCOM,CBO,PPIV,APD,BSMC,WKL,LOCL,GPS,XML,NTO,NET,I/O,SQL,BMAP
1351,ro.weednet.contactssync,1.2.2,July 26 2013,74138,810,5672,13.07087447,4335,30355.7037,0,1,44.5208608,0.443209877,8.663366337,0.388888889,42,1,0,0,0,0,0,13,0,4
1352,ro.weednet.contactssync,2.1.1,June 23 2014,41100,374,2166,18.97506925,2762,15995.96791,0,1,31.28225876,0.614973262,8.379888268,0.467914439,35,0,0,0,0,0,0,6,0,1
1357,com.asksven.betterbatterystats,1.13.4.0,June 04 2013,129937,991,8048,16.14525348,6853,55653.82846,3,2,61.56795925,0.503531786,11.60079613,0.962663976,94,1,0,0,1,0,1,29,43,3
1358,com.asksven.betterbatterystats,1.15.0.0_RC8,January 24 2014,141073,1061,8555,16.49012274,7325,59062.55891,3,2,60.29436172,0.511781338,11.90732759,0.947219604,98,1,0,0,1,0,1,42,28,3
1359,com.asksven.betterbatterystats,1.15.0.0,February 24 2014,141412,1075,8639,16.36902419,7332,58921.99814,3,2,60.29436172,0.510697674,11.81434599,0.942325581,98,1,0,0,1,0,1,42,28,3
1361,net.minetest.minetest,0.4.12.12,March 23 2015,1175,10,41,28.65853659,38,155.8,0,1,36.75170068,0.0,10.0,1.2,5,0,0,0,0,0,0,6,0,0
1362,net.minetest.minetest,0.4.13.13,August 22 2015,1179,10,41,28.75609756,38,155.8,0,1,36.75170068,0.0,10.0,1.2,5,0,0,0,0,0,0,6,0,0
1363,net.minetest.minetest,0.4.14.14,May 17 2016,1050,8,40,26.25,32,160.0,0,1,37.16378859,0.0,10.0,1.5,5,0,0,0,0,0,0,6,0,0
1364,com.seb.SLWP,1.4,May 10 2013,10138,52,265,38.25660377,400,2038.461538,1,3,62.56442305,0.038461538,22.19251337,3.519230769,5,0,0,0,0,0,0,17,0,8
1365,com.seb.SLWP,1.5,January 06 2015,10161,53,267,38.05617978,400,2015.09434,1,3,60.72429296,0.037735849,22.13333333,3.452830189,5,0,0,0,0,0,0,17,0,8
1367,naman14.timber,0.122b,October 12 2015,324258,2693,21857,14.8354303,18877,153210.0219,0,1,0.0,0.56925362,19.95657838,1.649461567,97,3,0,0,1,2,0,68,67,7
1369,naman14.timber,0.14b,January 09 2016,278987,2322,16827,16.57972306,16872,122267.5039,0,1,0.0,0.704134367,16.52151136,2.06546081,65,3,0,0,1,2,0,53,63,4
1408,org.torproject.android,15.0.1-RC-3-PIE,July 18 2015,128400,1239,10079,12.73935906,7871,64028.90153,0,1,28.66204213,0.459241324,7.315451119,0.536723164,83,1,0,0,1,0,0,83,0,3
1419,com.lukekorth.screennotifications,0.14.2,March 18 2016,226118,2206,17872,12.65208147,12685,102768.0508,1,2,44.18577508,0.488213962,10.16949153,0.914777879,77,2,0,0,1,0,0,69,15,3
1422,com.plusonelabs.calendar,1.9.1,August 28 2015,61510,290,4755,12.93585699,3398,55715.48276,2,2,75.40731735,0.655172414,12.7100073,1.286206897,2,0,0,0,0,0,0,13,0,0
1424,com.plusonelabs.calendar,1.9.3-35a0ac1,November 05 2015,63396,301,4865,13.03103803,3495,56488.95349,2,2,73.18644888,0.631229236,12.85310734,1.289036545,2,0,0,0,0,0,0,13,0,0
1425,org.isoron.uhabits,1.5.3,May 23 2016,298180,2420,21335,13.97609562,20061,176860.0971,5,2,51.50446226,0.510330579,9.89020719,0.930991736,98,1,0,0,1,0,0,60,70,4
1426,org.isoron.uhabits,1.5.4,May 31 2016,298234,2420,21336,13.9779715,20062,176877.2033,5,2,51.57714695,0.510330579,9.89020719,0.931404959,98,1,0,0,1,0,0,60,70,4
1427,org.isoron.uhabits,1.5.6,June 20 2016,298234,2420,21336,13.9779715,20060,176859.5702,5,2,51.57714695,0.510330579,9.89020719,0.931404959,98,1,0,0,1,0,0,60,70,4
1428,com.ichi2.anki,2.5.4,January 09 2016,375301,2981,23393,16.04330355,20648,162032.4267,2,4,33.39894712,0.454545455,12.17939831,1.458235491,150,2,0,0,1,6,0,179,193,6
1429,com.ichi2.anki,2.6,June 15 2016,373628,2876,22721,16.44417059,20923,165296.065,2,4,32.66463036,0.450625869,10.58254897,0.924200278,150,2,0,0,1,6,0,176,203,6
1430,com.ichi2.anki,2.6.1,July 11 2016,385469,2989,23547,16.37019578,21840,172053.0211,2,4,32.60396825,0.448310472,10.44449842,0.923385748,160,2,0,0,1,6,0,176,203,6
1435,com.nolanlawson.logcat,1.4.4,April 25 2013,10693,123,586,18.24744027,506,2410.699187,2,2,28.83127108,0.081300813,5.438066465,0.292682927,51,0,0,0,0,0,0,18,6,0
1436,com.nolanlawson.logcat,1.6.0,February 11 2015,10729,123,587,18.27768313,507,2419.585366,2,2,28.83207539,0.081300813,5.438066465,0.292682927,51,0,0,0,0,0,0,18,6,0
1437,info.guardianproject.pixelknot,0.3.1,December 15 2013,72732,553,5078,14.3229618,4530,41597.35986,1,2,29.9530249,0.484629295,9.894136808,1.242314647,51,0,0,0,1,0,0,44,0,9
