id,package_name,version_code,release_date,cat
1916,com.soloseal.temperaturealarmclock,1.10,May 24 2015,Lifestyle
1918,com.stwalkerster.android.apps.strobelight,1.2,November 05 2013,Entertainment
1919,com.tappple.followersplus,Varies with device,June 08 2016,Social
1920,com.tinder,6.7.2,January 10 2017,Lifestyle
1921,com.tinder,6.8.1,February 20 2017,Lifestyle
1922,com.tocaboca.tocakitchen,1.1.6-play,October 01 2015,Education
1923,com.tomtom.gplay.navapp,1.14.1,December 22 2016,Travel & Local
1924,com.tomtom.gplay.navapp,1.14.1,February 15 2017,Travel & Local
1925,com.topgemsguide.clashr,1.0,October 20 2016,Education
1926,com.topgemsguide.clashr,2.0,January 25 2017,Education
